street,city,neighborhood,address_area,address_neighborhood
הסנה,תל אביב יפו,"עג'מי, גבעת העליה",,
אשתורי הפרחי,תל אביב יפו,הצפון הישן - צפון,,
בת עין,תל אביב יפו,"צהלון, שיכוני חסכון",,
שמואל שניצר,תל אביב יפו,"אזורי חן, גימל החדשה, צוקי אביב",,
שערי ניקנור,תל אביב יפו,"עג'מי, גבעת העליה",,
טולקובסקי,תל אביב יפו,"גני צהלה, רמות צהלה",,
ים סוף,תל אביב יפו,"עג'מי, גבעת העליה",,
הגלבוע,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
גדעון,תל אביב יפו,הצפון הישן - דרום,,
ביצרון,תל אביב יפו,ביצרון ורמת ישראל,תל אביב,ביצרון ורמת ישראל
מרמורק,תל אביב יפו,הצפון הישן - דרום,,
סנפיר,תל אביב יפו,נוה חן,,
ארנון,תל אביב יפו,הצפון הישן - דרום,,
בעל העקידה,תל אביב יפו,שפירא,,
מבקיעים,תל אביב יפו,קרית שלום,,
אסף הרופא,תל אביב יפו,"עג'מי, גבעת העליה",,
הגולן,תל אביב יפו,רמת החייל,,
יזהר,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
פישמן מיימון,תל אביב יפו,הצפון החדש - דרום,,
טולוז,תל אביב יפו,"עג'מי, גבעת העליה",,
יעקוב ג'ורג' חנאניא,תל אביב יפו,"עג'מי, גבעת העליה",,
קרל נטר,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
מצובה,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
ברנדייס,תל אביב יפו,הצפון החדש - צפון,,
לינקולן,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
סמטת התבור,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
הסדנה,תל אביב יפו,"גבעת הרצל, בלומפילד",,
חזנוביץ',תל אביב יפו,נוה שאנן,,
בר אילן,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
הדר יוסף,תל אביב יפו,הדר יוסף,תל אביב,הדר יוסף
עמרם גאון,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
"ד""ר שמעון ברנפלד",תל אביב יפו,תל חיים,,
בן צדוק,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",,
זלמן שניאור,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
תרצה,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",,
יצחק אלחנן,תל אביב יפו,נוה צדק,,
הרב יצחק טייב,תל אביב יפו,לבנה,,
דב גרונר,תל אביב יפו,רמת אביב ג',,
שמוליק סגל,תל אביב יפו,"גני צהלה, רמות צהלה",,
הוברמן,תל אביב יפו,הצפון הישן - דרום,,
סמטת בארי,תל אביב יפו,הצפון החדש - דרום,,
חוני המעגל,תל אביב יפו,הצפון החדש - צפון,,
אגדתי,תל אביב יפו,"גני צהלה, רמות צהלה",,
מוסינזון,תל אביב יפו,הצפון החדש - כיכר המדינה,,
מבצע קדש,תל אביב יפו,נאות אפקה א',,
עמוס,תל אביב יפו,הצפון הישן - צפון,,
לילינבלום,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
רבי מאיר,תל אביב יפו,כרם התימנים,,
דעואל,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
אידלסון,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
מרגוע,תל אביב יפו,"עג'מי, גבעת העליה",,
גוש עציון,תל אביב יפו,יד אליהו,,
קלמן,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
מטלון,תל אביב יפו,נוה שאנן,תל אביב,נוה שאנן
ישעיהו,תל אביב יפו,הצפון הישן - צפון,,
הקנאים,תל אביב יפו,קרית שלום,תל אביב,קרית שלום
יהואש,תל אביב יפו,הצפון הישן - דרום,,
אלעזר בן יוסי,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",,
עמק איילון,תל אביב יפו,יד אליהו,תל אביב,יד אליהו
זנגביל,תל אביב יפו,הצפון הישן - צפון,,
עטרות,תל אביב יפו,רמת החייל,,
גורדון,תל אביב יפו,הצפון הישן - דרום,תל אביב,הצפון הישן - דרום
וייסבורג,תל אביב יפו,"גני צהלה, רמות צהלה",,
ארבע ארצות,תל אביב יפו,הצפון הישן - צפון,,
ראשונים,תל אביב יפו,נוה צדק,,
טירת צבי,תל אביב יפו,נחלת יצחק,תל אביב,נחלת יצחק
רוחמה,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",,
הרמן כהן,תל אביב יפו,הצפון הישן - דרום,,
בית לחם,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
אוארבך,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",,
וילסון,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
קורדוברו,תל אביב יפו,פלורנטין,,
אושה,תל אביב יפו,נוה אביבים,,
מצדה,תל אביב יפו,הצפון הישן - צפון,,
מוהליבר,תל אביב יפו,נוה צדק,,
פינסקר,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
תנחום,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",,
הקליר,תל אביב יפו,הצפון הישן - צפון,,
שטריקר,תל אביב יפו,הצפון החדש - צפון,,
ויינשל,תל אביב יפו,נאות אפקה ב',,
אייזיק חריף,תל אביב יפו,"נוה גולן, יפו ג'",,
כביר,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",תל אביב,"התקוה, בית יעקב, נוה צה""ל"
אייגר,תל אביב יפו,נוה שאנן,תל אביב,נוה שאנן
פלורנטין,תל אביב יפו,פלורנטין,,
מנדלי מוכר ספרים,תל אביב יפו,הצפון הישן - דרום,,
משה פרלוק,תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",,
לואי מרשל,תל אביב יפו,הצפון החדש - צפון,,
כרם חמד,תל אביב יפו,שפירא,,
קהילת ורשה,תל אביב יפו,הדר יוסף,,
לסקר,תל אביב יפו,שפירא,,
אלכסנדר פן,תל אביב יפו,תל ברוך צפון,,
כיסופים,תל אביב יפו,רביבים,,
הרב מרק,תל אביב יפו,הדר יוסף,,
יוניצמן,תל אביב יפו,"גלילות, סי אנד סאן",,
בן יהודה,תל אביב יפו,הצפון הישן - דרום,,
רבינא,תל אביב יפו,נוה אביבים,,
חיים בן עטר,תל אביב יפו,"גבעת הרצל, בלומפילד",,
בית אורן,תל אביב יפו,יד אליהו,תל אביב,יד אליהו
צוקרמן,תל אביב יפו,"נוה אליעזר, כפר שלם מזרח",,
חיים לבנון,תל אביב יפו,נוה אביבים,,
1235,תל אביב יפו,נמל תל אביב,,
ליבנה,תל אביב יפו,ניר אביב,תל אביב,ניר אביב
דוד תדהר,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",תל אביב,"התקוה, בית יעקב, נוה צה""ל"
שלמה בן יוסף,תל אביב יפו,רמת אביב ג',תל אביב,רמת אביב ג'
שבתאי,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
הרצל,תל אביב יפו,פלורנטין,,
ברזיל,תל אביב יפו,רמת אביב,,
רחל ושמואל אידלסון,תל אביב יפו,"גני צהלה, רמות צהלה",,
מוצא,תל אביב יפו,נוה חן,תל אביב,נוה חן
עמק ברכה,תל אביב יפו,נחלת יצחק,תל אביב,נחלת יצחק
בית אשל,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",תל אביב,"צפון יפו, המושבה האמריקאית-גרמנית"
יסעור,תל אביב יפו,"עג'מי, גבעת העליה",,
פרחי אביב,תל אביב יפו,נחלת יצחק,,
הרב ניסים,תל אביב יפו,בבלי,תל אביב,בבלי
כינרת,תל אביב יפו,נוה צדק,תל אביב,נוה צדק
אליפלט,תל אביב יפו,פלורנטין,,
נחמה,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",,
בורמה,תל אביב יפו,קרית שלום,,
הרב אהרונסון,תל אביב יפו,כרם התימנים,,
סמטה אלמונית,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
המכבי,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
לפין,תל אביב יפו,נוה צדק,,
איסר יהודה אונטרמן,תל אביב יפו,"כפיר, נוה כפיר",,
הגיחון,תל אביב יפו,"מכללת תל אביב יפו, דקר",,
רוממה,תל אביב יפו,נאות אפקה ב',תל אביב,נאות אפקה ב'
פאת השולחן,תל אביב יפו,נחלת יצחק,,
הנביאים,תל אביב יפו,הצפון הישן - דרום,,
"כ""ג יורדי הסירה",תל אביב יפו,הצפון הישן - צפון,תל אביב,הצפון הישן - צפון
יהודה הימית,תל אביב יפו,"מכללת תל אביב יפו, דקר",,
אלקלעי,תל אביב יפו,הצפון הישן - צפון,,
שדרות ששת הימים,תל אביב יפו,נוה חן,,
מלכי ישראל,תל אביב יפו,הצפון הישן - דרום,,
שבטי ישראל,תל אביב יפו,"צהלון, שיכוני חסכון",,
ליפסקי,תל אביב יפו,הצפון החדש - כיכר המדינה,,
לסל,תל אביב יפו,הצפון הישן - צפון,,
כרם התימנים,תל אביב יפו,כרם התימנים,,
נס ציונה,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
נמל יפו,תל אביב יפו,"עג'מי, גבעת העליה",,
כפר יונה,תל אביב יפו,רמת אביב,,
טבת,תל אביב יפו,"עזרא, הארגזים",תל אביב,"עזרא, הארגזים"
אוליפנט,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
חסידי האומות,תל אביב יפו,"מכללת תל אביב יפו, דקר",תל אביב,"מכללת תל אביב יפו, דקר"
יצחק חילו,תל אביב יפו,"שיכון דן, נוה דן",,
צונץ,תל אביב יפו,"נוה עופר, תל כביר",,
הכרמל,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
יהודה מרגוזה,תל אביב יפו,יפו העתיקה,,
"ד""ר בודנהיימר",תל אביב יפו,הצפון החדש - צפון,,
668,תל אביב יפו,הצפון החדש - דרום,,
חיסין,תל אביב יפו,הצפון הישן - דרום,,
בורוכוב,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
בני משה,תל אביב יפו,הצפון החדש - צפון,,
שבזי,תל אביב יפו,נוה צדק,,
רוטנשטרייך,תל אביב יפו,ניר אביב,תל אביב,ניר אביב
אלדד הדני,תל אביב יפו,"שיכון דן, נוה דן",תל אביב,"שיכון דן, נוה דן"
מרדכי זעירא,תל אביב יפו,המשתלה,,
הרב עוזיאל,תל אביב יפו,בבלי,,
עמדן,תל אביב יפו,הצפון הישן - צפון,,
דרך מנחם בגין,תל אביב יפו,"מונטיפיורי, הרכבת",,
דוד אבידן,תל אביב יפו,המשתלה,,
האשכולית,תל אביב יפו,"עג'מי, גבעת העליה",,
בנימיני,תל אביב יפו,נחלת יצחק,,
אליהו בית צורי,תל אביב יפו,רמת אביב ג',,
שדרות בן ציון,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
הרב קוק,תל אביב יפו,כרם התימנים,,
שם הגדולים,תל אביב יפו,"עג'מי, גבעת העליה",,
דרך שלמה,תל אביב יפו,פלורנטין,,
קהילת סופיה,תל אביב יפו,תל ברוך,,
הירקון,תל אביב יפו,הצפון הישן - צפון,,
יוסף דה לה ריינה,תל אביב יפו,"שיכון דן, נוה דן",,
המלך ג'ורג',תל אביב יפו,הצפון הישן - דרום,,
אהוד,תל אביב יפו,צהלה,תל אביב,צהלה
רחבת הגייסות,תל אביב יפו,יד אליהו,,
הדף היומי,תל אביב יפו,נוה שרת,,
דובנוב,תל אביב יפו,הצפון החדש - דרום,תל אביב,הצפון החדש - דרום
חניון שדה דב,תל אביב יפו,"תכנית ל', למד",תל אביב,"תכנית ל', למד"
אליהו מפרארה,תל אביב יפו,"שיכון דן, נוה דן",,
"שדרות חב""ד",תל אביב יפו,"צהלון, שיכוני חסכון",,
שיק,תל אביב יפו,"נוה עופר, תל כביר",תל אביב,"נוה עופר, תל כביר"
שונצינו,תל אביב יפו,"מונטיפיורי, הרכבת",,
יצחק ויטנברג,תל אביב יפו,"גני צהלה, רמות צהלה",,
מקווה ישראל,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
מסילת ישרים,תל אביב יפו,שפירא,תל אביב,שפירא
פרוג,תל אביב יפו,הצפון הישן - דרום,,
טוסקניני,תל אביב יפו,הצפון הישן - דרום,,
אחיעזר,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",תל אביב,"התקוה, בית יעקב, נוה צה""ל"
2369,תל אביב יפו,נוה שרת,,
למדן,תל אביב יפו,נאות אפקה ב',תל אביב,נאות אפקה ב'
אבא אחימאיר,תל אביב יפו,רמת אביב ג',תל אביב,רמת אביב ג'
יוסף מילוא,תל אביב יפו,תל ברוך,,
שדרות סמאטס,תל אביב יפו,הצפון החדש - צפון,,
סמטת נורדאו,תל אביב יפו,הצפון הישן - צפון,,
"שז""ר",תל אביב יפו,"נוה עופר, תל כביר",תל אביב,"נוה עופר, תל כביר"
פעמונית,תל אביב יפו,"יפו ד', גבעת התמרים",תל אביב,"יפו ד', גבעת התמרים"
פילון,תל אביב יפו,הצפון הישן - דרום,,
רמה,תל אביב יפו,נוה שרת,,
ישה חפץ,תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",,
רחל,תל אביב יפו,הצפון הישן - צפון,,
"הפלמ""ח",תל אביב יפו,יד אליהו,תל אביב,יד אליהו
אלתרמן,תל אביב יפו,נאות אפקה ב',,
נחל עוז,תל אביב יפו,"מכללת תל אביב יפו, דקר",תל אביב,"מכללת תל אביב יפו, דקר"
הררי,תל אביב יפו,רמת אביב,,
גוז'יקוב,תל אביב יפו,קרית שלום,תל אביב,קרית שלום
בילטמור,תל אביב יפו,הצפון החדש - כיכר המדינה,,
רבנו תם,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
אוהב ישראל,תל אביב יפו,"צהלון, שיכוני חסכון",,
אפשטיין,תל אביב יפו,הצפון החדש - כיכר המדינה,,
שמואל כהן יוחננוף,תל אביב יפו,קרית שלום,,
הגפן,תל אביב יפו,הצפון החדש - דרום,,
2040,תל אביב יפו,"גלילות, סי אנד סאן",תל אביב,"גלילות, סי אנד סאן"
מרדכי מאיר,תל אביב יפו,תל ברוך,,
מגידו,תל אביב יפו,הצפון הישן - דרום,,
נרדור,תל אביב יפו,"יפו ד', גבעת התמרים",תל אביב,"יפו ד', גבעת התמרים"
אליהו ספיר,תל אביב יפו,הצפון הישן - דרום,,
שניר,תל אביב יפו,תל ברוך,,
בר גיורא,תל אביב יפו,הצפון הישן - דרום,תל אביב,הצפון הישן - דרום
שביל הניצנים,תל אביב יפו,ביצרון ורמת ישראל,,
שרעבי,תל אביב יפו,נוה צדק,,
יגאל אלון,תל אביב יפו,נחלת יצחק,,
הספינה,תל אביב יפו,"עג'מי, גבעת העליה",,
האסיף,תל אביב יפו,שפירא,,
סמטת הר ציון,תל אביב יפו,"גבעת הרצל, בלומפילד",תל אביב,"גבעת הרצל, בלומפילד"
אריאל,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
דרור,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",,
הס,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
חולדה,תל אביב יפו,הצפון הישן - צפון,,
מאיר פיינשטיין,תל אביב יפו,רמת אביב ג',,
בנימין זאב באכר,תל אביב יפו,תל חיים,,
בצלאל,תל אביב יפו,הצפון החדש - דרום,,
עזה,תל אביב יפו,"מכללת תל אביב יפו, דקר",תל אביב,"מכללת תל אביב יפו, דקר"
הרב פרידמן,תל אביב יפו,הצפון החדש - צפון,תל אביב,הצפון החדש - צפון
1278,תל אביב יפו,"מונטיפיורי, הרכבת",,
משגב עם,תל אביב יפו,קרית שלום,,
עובדיה מברטנורה,תל אביב יפו,הצפון הישן - צפון,,
יעקב סלע,תל אביב יפו,ניר אביב,תל אביב,ניר אביב
ג'ורג' אליוט,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
אהרונוביץ',תל אביב יפו,הצפון הישן - דרום,,
יהודה בורלא,תל אביב יפו,"תכנית ל', למד",תל אביב,"תכנית ל', למד"
ורשבסקי,תל אביב יפו,קרית שלום,תל אביב,קרית שלום
גדיש,תל אביב יפו,"עזרא, הארגזים",תל אביב,"עזרא, הארגזים"
מנשה בן ישראל,תל אביב יפו,נוה שאנן,,
מרכולת,תל אביב יפו,פלורנטין,,
אליהו חכים,תל אביב יפו,רמת אביב ג',תל אביב,רמת אביב ג'
זכריה רצאבי,תל אביב יפו,"כפיר, נוה כפיר",,
דוד מרכוס,תל אביב יפו,רמת החייל,,
מאיר יערי,תל אביב יפו,כוכב הצפון,,
קמואל,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",תל אביב,"התקוה, בית יעקב, נוה צה""ל"
מעון,תל אביב יפו,פלורנטין,,
מרדכי רומנו,תל אביב יפו,תל ברוך,,
שאול אביגור,תל אביב יפו,"אזורי חן, גימל החדשה, צוקי אביב",,
השילוח,תל אביב יפו,שפירא,,
בנימין מטודלה,תל אביב יפו,"שיכון דן, נוה דן",,
קפלנסקי,תל אביב יפו,קרית שלום,,
גרונימן,תל אביב יפו,רמת אביב,,
בן סרוק,תל אביב יפו,הצפון החדש - כיכר המדינה,,
אלול,תל אביב יפו,"עזרא, הארגזים",תל אביב,"עזרא, הארגזים"
"אצ""ל",תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
עולי הגרדום,תל אביב יפו,רמת החייל,תל אביב,רמת החייל
מזל גדי,תל אביב יפו,יפו העתיקה,,
שמריהו לוין,תל אביב יפו,הצפון הישן - דרום,,
גליקסון,תל אביב יפו,הצפון הישן - דרום,תל אביב,הצפון הישן - דרום
יגאל מוסינזון,תל אביב יפו,תל ברוך,,
"יהל""ל",תל אביב יפו,הצפון הישן - צפון,תל אביב,הצפון הישן - צפון
דרך השלום,תל אביב יפו,נחלת יצחק,,
מחנה יוסף,תל אביב יפו,נוה צדק,,
גולומב,תל אביב יפו,שפירא,תל אביב,שפירא
צפת,תל אביב יפו,הצפון הישן - דרום,,
וולמן,תל אביב יפו,רביבים,,
כיכר הבימה,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
"ציהתל""י",תל אביב יפו,"צהלון, שיכוני חסכון",,
זלוציסטי,תל אביב יפו,הצפון החדש - כיכר המדינה,,
החותרים,תל אביב יפו,יד אליהו,,
"רלב""ג",תל אביב יפו,שפירא,,
שדרות הציונות,תל אביב יפו,הצפון החדש - כיכר המדינה,,
קלצ'קין,תל אביב יפו,אפקה,תל אביב,אפקה
מתתיהו שוהם,תל אביב יפו,"גני צהלה, רמות צהלה",,
מקור חיים,תל אביב יפו,שפירא,,
זיגלבוים,תל אביב יפו,קרית שלום,,
יורק שטיינר,תל אביב יפו,רמת החייל,תל אביב,רמת החייל
אוסוולדו ארניה,תל אביב יפו,"גני שרונה, קרית הממשלה",תל אביב,"גני שרונה, קרית הממשלה"
נהריים,תל אביב יפו,נוה שרת,,
זכרון יעקב,תל אביב יפו,הצפון החדש - כיכר המדינה,,
חלמית,תל אביב יפו,"יפו ד', גבעת התמרים",,
מצפה,תל אביב יפו,הצפון הישן - דרום,,
חנקין,תל אביב יפו,הצפון החדש - כיכר המדינה,,
יהודה הלוי,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
רבן גמליאל,תל אביב יפו,כרם התימנים,תל אביב,כרם התימנים
אמסטרדם,תל אביב יפו,הצפון הישן - צפון,,
יהושע בן נון,תל אביב יפו,הצפון הישן - צפון,,
סומקן,תל אביב יפו,"יפו ד', גבעת התמרים",תל אביב,"יפו ד', גבעת התמרים"
סוטין,תל אביב יפו,הצפון החדש - דרום,תל אביב,הצפון החדש - דרום
רציף הרברט סמואל,תל אביב יפו,נוה צדק,,
אוסישקין,תל אביב יפו,הצפון הישן - צפון,תל אביב,הצפון הישן - צפון
מולכו,תל אביב יפו,נוה צדק,תל אביב,נוה צדק
מקס ריינהרט,תל אביב יפו,"צהלון, שיכוני חסכון",,
קלונימוס,תל אביב יפו,הצפון הישן - צפון,,
מיכאל נאמן,תל אביב יפו,"גלילות, סי אנד סאן",תל אביב,"גלילות, סי אנד סאן"
פלוגות,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
"ד""ר אברהם אליהו הרכבי",תל אביב יפו,תל חיים,תל אביב,תל חיים
אמיל זולא,תל אביב יפו,הצפון הישן - דרום,,
רביבים,תל אביב יפו,רביבים,,
נס לגויים,תל אביב יפו,"מכללת תל אביב יפו, דקר",,
"אח""י דקר",תל אביב יפו,נוה שרת,תל אביב,נוה שרת
"רמב""ם",תל אביב יפו,"לב תל אביב, לב העיר צפון",,
אבן סינא,תל אביב יפו,"עג'מי, גבעת העליה",,
שביל החלב,תל אביב יפו,נחלת יצחק,,
שמואל תמיר,תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",,
לה גווארדיה,תל אביב יפו,יד אליהו,,
קהילת קליבלנד,תל אביב יפו,נוה שרת,תל אביב,נוה שרת
בלוך,תל אביב יפו,הצפון החדש - דרום,,
מנחם ארבר,תל אביב יפו,"נוה עופר, תל כביר",תל אביב,"נוה עופר, תל כביר"
רמז,תל אביב יפו,הצפון החדש - כיכר המדינה,,
יעקב חזן,תל אביב יפו,רביבים,,
אפלטון,תל אביב יפו,"נוה גולן, יפו ג'",,
אנגל,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
נורית,תל אביב יפו,צהלה,,
תשרי,תל אביב יפו,"עזרא, הארגזים",תל אביב,"עזרא, הארגזים"
אברבנאל,תל אביב יפו,פלורנטין,,
איינשטיין,תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",,
טשרניחובסקי,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
גוש חלב,תל אביב יפו,הצפון הישן - צפון,,
מוטה גור,תל אביב יפו,אפקה,,
דאנטה,תל אביב יפו,"מכללת תל אביב יפו, דקר",,
נגבה,תל אביב יפו,יד אליהו,,
בן גמליאל,תל אביב יפו,"צפון יפו, המושבה האמריקאית-גרמנית",,
ברקוביץ',תל אביב יפו,הצפון החדש - דרום,,
תירוש,תל אביב יפו,רביבים,,
צבי ברוק,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
סטפן צווייג,תל אביב יפו,תל ברוך צפון,,
פקיעין,תל אביב יפו,הצפון הישן - צפון,,
שדרות דוד המלך,תל אביב יפו,הצפון החדש - דרום,,
פיכמן,תל אביב יפו,רמת אביב,,
אביגדור סטימצקי,תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",,
שטנד,תל אביב יפו,הצפון הישן - דרום,תל אביב,הצפון הישן - דרום
יונה הנביא,תל אביב יפו,כרם התימנים,,
היהודי זיס,תל אביב יפו,קרית שלום,,
"שדרות החי""ל",תל אביב יפו,יד אליהו,,
ותיק,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
אלכסנדר ינאי,תל אביב יפו,הצפון הישן - צפון,,
שמואל הנגיד,תל אביב יפו,הצפון הישן - צפון,,
המלך כורש,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
מחרוזת,תל אביב יפו,"יפו ד', גבעת התמרים",,
דרך חיים ברלב,תל אביב יפו,לבנה,,
לוזים,תל אביב יפו,"עג'מי, גבעת העליה",תל אביב,"עג'מי, גבעת העליה"
אלברט קיוסו,תל אביב יפו,"צהלון, שיכוני חסכון",תל אביב,"צהלון, שיכוני חסכון"
"רנ""ק",תל אביב יפו,הצפון הישן - צפון,תל אביב,הצפון הישן - צפון
"שדרות ח""ן",תל אביב יפו,הצפון הישן - דרום,,
וילון,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
מנדלסון,תל אביב יפו,הצפון הישן - דרום,,
אריה שרון,תל אביב יפו,רביבים,,
אלי כהן,תל אביב יפו,"הגוש הגדול, רמת אביב החדשה, נופי ים",,
למרטין,תל אביב יפו,"מכללת תל אביב יפו, דקר",,
יפרח,תל אביב יפו,ביצרון ורמת ישראל,תל אביב,ביצרון ורמת ישראל
ברנר,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
שלמה המלך,תל אביב יפו,הצפון הישן - דרום,,
ז'אן ז'ורס,תל אביב יפו,הצפון הישן - דרום,,
הרב הרצוג,תל אביב יפו,בבלי,,
תל ברוך,תל אביב יפו,תל ברוך,,
גייגר,תל אביב יפו,נוה אביבים,,
הגדוד העברי,תל אביב יפו,נוה שאנן,,
בבלי,תל אביב יפו,בבלי,,
כיכר קדומים,תל אביב יפו,יפו העתיקה,,
כרמי,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
הירדן,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
עירית,תל אביב יפו,"נוה גולן, יפו ג'",,
קדמיאל,תל אביב יפו,"התקוה, בית יעקב, נוה צה""ל",,
תוספתא,תל אביב יפו,בבלי,,
יד המעביר,תל אביב יפו,הדר יוסף,תל אביב,הדר יוסף
כוכבי יצחק,תל אביב יפו,שפירא,תל אביב,שפירא
סמטת בית השואבה,תל אביב יפו,"לב תל אביב, לב העיר צפון",,
שלומציון המלכה,תל אביב יפו,הצפון החדש - צפון,,
אהבת ציון,תל אביב יפו,הצפון החדש - כיכר המדינה,,
"לח""י",תל אביב יפו,"עזרא, הארגזים",,
